Date : 2021-12-30 20:16:12
Directory : c:\xampp\htdocs\HosPortal new CSS
Total : 225 files,  57683 codes, 5519 comments, 8630 blanks, all 71832 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\latest-soap-id.php                  | PHP        |         10 |          0 |          7 |         17 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\loadEvents.php                      | PHP        |         91 |          0 |          8 |         99 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\login.php                           | PHP        |         67 |          3 |         18 |         88 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\logout.php                          | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\manual-soap-create.php              | PHP        |         16 |          0 |          9 |         25 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\mark-as-ongoing.php                 | PHP        |         40 |          1 |         11 |         52 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\medtech-dynamic-table.php           | PHP        |         36 |          0 |          5 |         41 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\medtech-uploads.php                 | PHP        |         23 |          0 |          5 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\open-bill-details.php               | PHP        |         64 |          0 |         16 |         80 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\open-lab-draft.php                  | PHP        |         10 |          0 |          7 |         17 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\open-soap-note-file-archive.php     | PHP        |         10 |          0 |          6 |         16 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\open-soap-note-file.php             | PHP        |         21 |          0 |          9 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\open-soap-notes.php                 | PHP        |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\patient-list-ajax.php               | PHP        |         80 |          1 |         12 |         93 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\patient-soap-table.php              | PHP        |         34 |          0 |          6 |         40 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\patient-sort-docs.php               | PHP        |         48 |          0 |          8 |         56 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\patient-transaction-table.php       | PHP        |         41 |          0 |          8 |         49 |
